type,title,company,location,salary,experience,duration,skills,link,source
Internship,Full Stack Development,"SkippyEd (Dubai, United Arab Emirates)",Work from home,"₹ 50,000 - 60,000 /month",Fresher,N/A,JavaScriptPythonGitNode.jsPostgreSQLReact,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-skippyed1766810646,Internshala
Internship,Systems Software Developer,Vicharak Computers LLP,Surat,"₹ 16,000 - 20,000 /month",Fresher,N/A,C#PythonC ProgrammingC++ Programming,https://internshala.com/internship/detail/systems-software-developer-internship-in-surat-at-vicharak-computers-llp1766808594,Internshala
Internship,Full Stack Development,ProAnalyser,Coimbatore,"₹ 6,300 - 7,500 /month",Fresher,N/A,HTMLCSSJavaScriptPython,https://internshala.com/internship/detail/full-stack-development-internship-in-coimbatore-at-proanalyser1766740018,Internshala
Internship,Artificial Intelligence (AI),SmartLabprojects,Work from home,"₹ 15,000 - 43,000 /month",Fresher,N/A,PythonMS-ExcelEffective CommunicationPrompt Engineering,https://internshala.com/internship/detail/work-from-home-part-time-artificial-intelligence-ai-internship-at-smartlabprojects1766733916,Internshala
Internship,Python Development,Monkhub,Gurgaon,"₹ 10,000 /month",Fresher,N/A,PythonLinuxUnixAlgorithmsData StructuresGitDjango+9 more,https://internshala.com/internship/detail/python-development-internship-in-gurgaon-at-monkhub1766733817,Internshala
Internship,Data Analytics,Wadhwani Foundation,Bangalore                                                                (Hybrid),"₹ 15,000 - 20,000 /month",Fresher,N/A,PythonSQLData AnalyticsMongoDBPostgreSQLMS-ExcelData Visualization+5 more,https://internshala.com/internship/detail/data-analytics-internship-in-bangalore-at-wadhwani-foundation1766725949,Internshala
Internship,Full Stack AI/ML,Andaz Kumar,Work from home,"₹ 7,000 - 12,000 /month",Fresher,N/A,JavaScriptPythonSQLNoSQLNeural NetworksArtificial intelligenceNext.js+1 more,https://internshala.com/internship/detail/work-from-home-full-stack-ai-ml-internship-at-andaz-kumar1766688465,Internshala
Internship,AI Agent Development,Shivankit TechSolutions OPC Private Limited,Work from home,"₹ 5,000 - 10,000 /month",Fresher,N/A,Python,https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-shivankit-techsolutions-opc-private-limited1766666050,Internshala
Internship,Full Stack Development,Baethar,Kullu                                                                (Hybrid),"₹ 5,000 - 10,000 /month",Fresher,N/A,MySQLHTMLCSSJavaScriptPythonReact,https://internshala.com/internship/detail/part-time-full-stack-development-internship-in-kullu-at-baethar1766644308,Internshala
Internship,Data Analytics,Rajlaxmi Solutions Private Limited,"Thane, Mumbai","₹ 3,000 - 10,000 /month",Fresher,N/A,PythonSQLData AnalyticsMS-ExcelCoordinationPower BIReport Generation,https://internshala.com/internship/detail/data-analytics-internship-in-multiple-locations-at-rajlaxmi-solutions-private-limited1766579714,Internshala
Internship,Circuit Design,TSTEPS PRIVATE LIMITED,"Thiruvananthapuram, Kerala Estate                                                                (Hybrid)","₹ 10,000 - 15,000 /month",Fresher,N/A,PythonSeleniumJiraPostmanAPIs,https://internshala.com/internship/detail/circuit-design-internship-in-multiple-locations-at-tsteps-private-limited1766556682,Internshala
Internship,Data Science,MCube AI Private Limited,Gurgaon,"₹ 20,000 - 30,000 /month",Fresher,N/A,PythonSQLData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep Learning+1 more,https://internshala.com/internship/detail/data-science-internship-in-gurgaon-at-mcube-ai-private-limited1766556265,Internshala
Internship,QA Engineer,TSTEPS PRIVATE LIMITED,"Kolkata, Pune                                                                (Hybrid)","₹ 10,000 - 15,000 /month",Fresher,N/A,PythonManual TestingAPIsSoftware Development Life Cycle (SDLC)TrelloSTLC,https://internshala.com/internship/detail/qa-engineer-internship-in-multiple-locations-at-tsteps-private-limited1766555946,Internshala
Internship,E-Commerce,Mabross Life OPC Private Limited,Palakkad,"₹ 13,000 - 28,000 /month",Fresher,N/A,Python,https://internshala.com/internship/detail/e-commerce-internship-in-palakkad-at-v-k-r-kurup1766549402,Internshala
Internship,"Technical Content Writer (AI, LLM, & Generative AI)",Shivanshu Baweja,Work from home,"₹ 6,000 - 10,000 /month",Fresher,N/A,Content WritingPythonLinkedIn MarketingEnglish Proficiency (Written)Artificial intelligenceHugging FaceWritten Communication+2 more,https://internshala.com/internship/detail/work-from-home-technical-content-writer-ai-llm-generative-ai-internship-at-shivanshu-baweja1766494169,Internshala
Internship,Cyber Security,Gateway Software Solutions,"Chennai, Coimbatore, Madurai","₹ 7,500 - 15,000 /month",Fresher,N/A,PythonComputer NetworkingLinuxEthical HackingWeb Application Security,https://internshala.com/internship/detail/cyber-security-internship-in-multiple-locations-at-gateway-software-solutions1766493415,Internshala
Internship,Junior STEM Mentor/Educator/Trainer/Robotics Mentor,STEMx,Bangalore,"₹ 12,000 - 15,000 /month",Fresher,N/A,PythonRoboticsTeachingRaspberry PiComputer skillsMentorshipC++ Programming+4 more,https://internshala.com/internship/detail/junior-stem-mentor-educator-trainer-robotics-mentor-internship-in-bangalore-at-stemx1766483866,Internshala
Internship,Test Engineer,TSTEPS PRIVATE LIMITED,"Madurai, Salem                                                                (Hybrid)","₹ 10,000 - 15,000 /month",Fresher,N/A,PythonC ProgrammingTest Case Design,https://internshala.com/internship/detail/test-engineer-internship-in-multiple-locations-at-tsteps-private-limited1766476295,Internshala
Internship,Hardware Engineer,TSTEPS PRIVATE LIMITED,"Bangalore, Karnataka                                                                (Hybrid)","₹ 10,000 - 15,000 /month",Fresher,N/A,PythonC ProgrammingOrCADCadenceLTSpice,https://internshala.com/internship/detail/hardware-engineer-internship-in-multiple-locations-at-tsteps-private-limited1766476026,Internshala
Internship,Full Stack Development,Grarri Private Limited,Hyderabad,"₹ 15,000 /month",Fresher,N/A,PythonMongoDBNode.jsReactTypeScriptNext.js,https://internshala.com/internship/detail/full-stack-development-internship-in-hyderabad-at-grarri-private-limited1766473074,Internshala
Internship,Backend Development,Grarri Private Limited,Hyderabad,"₹ 15,000 /month",Fresher,N/A,PythonMongoDBPostgreSQLREST API,https://internshala.com/internship/detail/backend-development-internship-in-hyderabad-at-grarri-private-limited1766472824,Internshala
Internship,Artificial Intelligence (AI),Matrix International,Work from home,"₹ 7,000 - 10,000 /month",Fresher,N/A,PythonData StructuresMachine LearningGitHubREST APIEnglish Proficiency (Spoken)English Proficiency (Written)+5 more,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-matrix-international1766464031,Internshala
Internship,Software Developer,InstaAstro,Noida,"₹ 15,000 /month",Fresher,N/A,PythonDjangoDjango Rest Framework,https://internshala.com/internship/detail/software-developer-internship-in-noida-at-instaastro1766463568,Internshala
