name,ratings,reviews,type_locations,salaries,interviews,jobs,benefits
Croma,3.8,(3.2k),Retail | Mumbai +189 other locations,8.8k,175,18,186
Tata AIG,4.0,(3.1k),Insurance | Mumbai +260 other locations,11.3k,186,111,245
Max Healthcare,3.9,(3.1k),Healthcare | New Delhi +78 other locations,10.2k,182,151,276
UPL,4.1,(3.1k),Agro Chemicals | Ankleshwar +185 other locations,11k,214,32,293
PepsiCo,4.0,(3.1k),Food Processing | Hyderabad / Secunderabad +275 other locations,13.1k,232,155,244
Amazon Transportation Services,4.2,(3.1k),Logistics | Hyderabad / Secunderabad +227 other locations,8k,250,--,246
Titan Company,4.2,(3.1k),Retail | Bangalore / Bengaluru +183 other locations,9.5k,194,88,339
Dilip Buildcon,3.9,(3.1k),Engineering & Construction | Bhopal +226 other locations,8k,177,16,298
Bajaj General Insurance Limited,3.8,(3.1k),Insurance | Pune +273 other locations,9k,120,35,235
Walmart,3.5,(3.1k),Retail | Bangalore / Bengaluru +93 other locations,21.9k,434,106,319
Mankind Pharma,3.8,(3.1k),Pharma | New Delhi +247 other locations,9.2k,247,6,246
